Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Pichu,Electric,Tiny Mouse Pokémon,0.3,2,1. StaticLightning Rod (hidden ability),190,50,41,Medium Fast,"50% male, 50% female",20,40,15,35,35,60
Cleffa,Fairy,Star Shape Pokémon,0.3,3,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),150,140,44,Fast,"25% male, 75% female",50,25,28,45,55,15
Igglybuff,Normal Fairy,Balloon Pokémon,0.3,1,1. Cute Charm2. CompetitiveFriend Guard (hidden ability),170,50,42,Fast,"25% male, 75% female",90,30,15,40,20,15
Togepi,Fairy,Spike Ball Pokémon,0.3,1.5,1. Hustle2. Serene GraceSuper Luck (hidden ability),190,50,49,Fast,"87.5% male, 12.5% female",35,20,65,40,65,20
Togetic,Fairy Flying,Happiness Pokémon,0.6,3.2,1. Hustle2. Serene GraceSuper Luck (hidden ability),75,50,142,Fast,"87.5% male, 12.5% female",55,40,85,80,105,40
Natu,Psychic Flying,Tiny Bird Pokémon,0.2,2,1. Synchronize2. Early BirdMagic Bounce (hidden ability),190,50,64,Medium Fast,"50% male, 50% female",40,50,45,70,45,70
Xatu,Psychic Flying,Mystic Pokémon,1.5,15,1. Synchronize2. Early BirdMagic Bounce (hidden ability),75,50,165,Medium Fast,"50% male, 50% female",65,75,70,95,70,95
Mareep,Electric,Wool Pokémon,0.6,7.8,1. StaticPlus (hidden ability),235,50,56,Medium Slow,"50% male, 50% female",55,40,40,65,45,35
Flaaffy,Electric,Wool Pokémon,0.8,13.3,1. StaticPlus (hidden ability),120,50,128,Medium Slow,"50% male, 50% female",70,55,55,80,60,45
Ampharos,Electric Dragon,Light Pokémon,1.4,61.5,Mold Breaker,45,50,275,Medium Slow,"50% male, 50% female",90,95,105,165,110,45
Bellossom,Grass,Flower Pokémon,0.4,5.8,1. ChlorophyllHealer (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",75,80,95,90,100,50
Marill,Water Fairy,Aqua Mouse Pokémon,0.4,8.5,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),190,50,88,Fast,"50% male, 50% female",70,20,50,20,50,40
Azumarill,Water Fairy,Aqua Rabbit Pokémon,0.8,28.5,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),75,50,210,Fast,"50% male, 50% female",100,50,80,60,80,50
Sudowoodo,Rock,Imitation Pokémon,1.2,38,1. Sturdy2. Rock HeadRattled (hidden ability),65,50,144,Medium Fast,"50% male, 50% female",70,100,115,30,65,30
Politoed,Water,Frog Pokémon,1.1,33.9,1. Water Absorb2. DampDrizzle (hidden ability),45,50,225,Medium Slow,"50% male, 50% female",90,75,75,90,100,70
Hoppip,Grass Flying,Cottonweed Pokémon,0.4,0.5,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),255,50,50,Medium Slow,"50% male, 50% female",35,35,40,35,55,50
Skiploom,Grass Flying,Cottonweed Pokémon,0.6,1,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),120,50,119,Medium Slow,"50% male, 50% female",55,45,50,45,65,80
Jumpluff,Grass Flying,Cottonweed Pokémon,0.8,3,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),45,50,230,Medium Slow,"50% male, 50% female",75,55,70,55,95,110
Aipom,Normal,Long Tail Pokémon,0.8,11.5,1. Run Away2. PickupSkill Link (hidden ability),45,50,72,Fast,"50% male, 50% female",55,70,55,40,55,85
Sunkern,Grass,Seed Pokémon,0.3,1.8,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),235,50,36,Medium Slow,"50% male, 50% female",30,30,30,30,30,30
Sunflora,Grass,Sun Pokémon,0.8,8.5,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),120,50,149,Medium Slow,"50% male, 50% female",75,75,55,105,85,30
Yanma,Bug Flying,Clear Wing Pokémon,1.2,38,1. Speed Boost2. Compound EyesFrisk (hidden ability),75,50,78,Medium Fast,"50% male, 50% female",65,65,45,75,45,95
Wooper,Poison Ground,Poison Fish Pokémon,0.4,11,Poison Point Water Absorb Unaware,255,50,42,Medium Fast,"50% male, 50% female",55,45,45,25,25,15
Quagsire,Water Ground,Water Fish Pokémon,1.4,75,1. Damp2. Water AbsorbUnaware (hidden ability),90,50,151,Medium Fast,"50% male, 50% female",95,85,85,65,65,35
Espeon,Psychic,Sun Pokémon,0.9,26.5,1. SynchronizeMagic Bounce (hidden ability),45,50,184,Medium Fast,"87.5% male, 12.5% female",65,65,60,130,95,110
Umbreon,Dark,Moonlight Pokémon,1,27,1. SynchronizeInner Focus (hidden ability),45,35,184,Medium Fast,"87.5% male, 12.5% female",95,65,110,60,130,65
Murkrow,Dark Flying,Darkness Pokémon,0.5,2.1,1. Insomnia2. Super LuckPrankster (hidden ability),30,35,81,Medium Slow,"50% male, 50% female",60,85,42,85,42,91
Slowking,Poison Psychic,Hexpert Pokémon,1.8,79.5,Curious Medicine Own Tempo Regenerator,70,50,172,Medium Fast,"50% male, 50% female",95,65,80,110,110,30
Misdreavus,Ghost,Screech Pokémon,0.7,1,1. Levitate,45,35,87,Fast,"50% male, 50% female",60,60,60,85,85,85
Unown,Psychic,Symbol Pokémon,0.5,5,1. Levitate,225,50,118,Medium Fast,Genderless,48,72,48,72,48,48
Wobbuffet,Psychic,Patient Pokémon,1.3,28.5,1. Shadow TagTelepathy (hidden ability),45,50,142,Medium Fast,"50% male, 50% female",190,33,58,33,58,33
Girafarig,Normal Psychic,Long Neck Pokémon,1.5,41.5,1. Inner Focus2. Early BirdSap Sipper (hidden ability),60,50,159,Medium Fast,"50% male, 50% female",70,80,65,90,65,85
Pineco,Bug,Bagworm Pokémon,0.6,7.2,1. SturdyOvercoat (hidden ability),190,50,58,Medium Fast,"50% male, 50% female",50,65,90,35,35,15
Forretress,Bug Steel,Bagworm Pokémon,1.2,125.8,1. SturdyOvercoat (hidden ability),75,50,163,Medium Fast,"50% male, 50% female",75,90,140,60,60,40
Dunsparce,Normal,Land Snake Pokémon,1.5,14,1. Serene Grace2. Run AwayRattled (hidden ability),190,50,145,Medium Fast,"50% male, 50% female",100,70,70,65,65,45
Gligar,Ground Flying,FlyScorpion Pokémon,1.1,64.8,1. Hyper Cutter2. Sand VeilImmunity (hidden ability),60,50,86,Medium Slow,"50% male, 50% female",65,75,105,35,65,85
Steelix,Steel Ground,Iron Snake Pokémon,10.5,740,Sand Force,25,50,214,Medium Fast,"50% male, 50% female",75,125,230,55,95,30
Snubbull,Fairy,Fairy Pokémon,0.6,7.8,1. Intimidate2. Run AwayRattled (hidden ability),190,50,60,Fast,"25% male, 75% female",60,80,50,40,40,30
Granbull,Fairy,Fairy Pokémon,1.4,48.7,1. Intimidate2. Quick FeetRattled (hidden ability),75,50,158,Fast,"25% male, 75% female",90,120,75,60,60,45
Qwilfish,Dark Poison,Balloon Pokémon,0.5,3.9,Poison Point Swift Swim Intimidate,45,50,88,Medium Fast,"50% male, 50% female",65,95,85,55,55,85
Scizor,Bug Steel,Pincer Pokémon,2,125,Technician,25,50,210,Medium Fast,"50% male, 50% female",70,150,140,65,100,75
Shuckle,Bug Rock,Mold Pokémon,0.6,20.5,1. Sturdy2. GluttonyContrary (hidden ability),190,50,177,Medium Slow,"50% male, 50% female",20,10,230,10,230,5
Heracross,Bug Fighting,Single Horn Pokémon,1.7,62.5,Skill Link,45,50,210,Slow,"50% male, 50% female",80,185,115,40,105,75
Sneasel,Fighting Poison,Sharp Claw Pokémon,0.9,27,Inner Focus Keen Eye Pickpocket,60,35,86,Medium Slow,"50% male, 50% female",55,95,55,35,75,115
Teddiursa,Normal,Little Bear Pokémon,0.6,8.8,1. Pickup2. Quick FeetHoney Gather (hidden ability),120,50,66,Medium Fast,"50% male, 50% female",60,80,50,50,50,40
Ursaring,Normal,Hibernator Pokémon,1.8,125.8,1. Guts2. Quick FeetUnnerve (hidden ability),60,50,175,Medium Fast,"50% male, 50% female",90,130,75,75,75,55
Slugma,Fire,Lava Pokémon,0.7,35,1. Magma Armor2. Flame BodyWeak Armor (hidden ability),190,50,50,Medium Fast,"50% male, 50% female",40,40,40,70,40,20
Magcargo,Fire Rock,Lava Pokémon,0.8,55,1. Magma Armor2. Flame BodyWeak Armor (hidden ability),75,50,151,Medium Fast,"50% male, 50% female",60,50,120,90,80,30
Swinub,Ice Ground,Pig Pokémon,0.4,6.5,1. Oblivious2. Snow CloakThick Fat (hidden ability),225,50,50,Slow,"50% male, 50% female",50,50,40,30,30,50
Piloswine,Ice Ground,Swine Pokémon,1.1,55.8,1. Oblivious2. Snow CloakThick Fat (hidden ability),75,50,158,Slow,"50% male, 50% female",100,100,80,60,60,50
Corsola,Ghost,Coral Pokémon,0.6,0.5,Weak Armor Cursed Body,60,50,144,Fast,"25% male, 75% female",60,55,100,65,100,30
Remoraid,Water,Jet Pokémon,0.6,12,1. Hustle2. SniperMoody (hidden ability),190,50,60,Medium Fast,"50% male, 50% female",35,65,35,65,35,65
Octillery,Water,Jet Pokémon,0.9,28.5,1. Suction Cups2. SniperMoody (hidden ability),75,50,168,Medium Fast,"50% male, 50% female",75,105,75,105,75,45
Delibird,Ice Flying,Delivery Pokémon,0.9,16,1. Vital Spirit2. HustleInsomnia (hidden ability),45,50,116,Fast,"50% male, 50% female",45,55,45,65,45,75
Mantine,Water Flying,Kite Pokémon,2.1,220,1. Swift Swim2. Water AbsorbWater Veil (hidden ability),25,50,170,Slow,"50% male, 50% female",85,40,70,80,140,70
Skarmory,Steel Flying,Armor Bird Pokémon,1.7,50.5,1. Keen Eye2. SturdyWeak Armor (hidden ability),25,50,163,Slow,"50% male, 50% female",65,80,140,40,70,70
Houndour,Dark Fire,Dark Pokémon,0.6,10.8,1. Early Bird2. Flash FireUnnerve (hidden ability),120,35,66,Slow,"50% male, 50% female",45,60,30,80,50,65
Houndoom,Dark Fire,Dark Pokémon,1.9,49.5,Solar Power,45,35,210,Slow,"50% male, 50% female",75,90,90,140,90,115
Kingdra,Water Dragon,Dragon Pokémon,1.8,152,1. Swift Swim2. SniperDamp (hidden ability),45,50,243,Medium Fast,"50% male, 50% female",75,95,95,95,95,85
Phanpy,Ground,Long Nose Pokémon,0.5,33.5,1. PickupSand Veil (hidden ability),120,50,66,Medium Fast,"50% male, 50% female",90,60,60,40,40,40
Donphan,Ground,Armor Pokémon,1.1,120,1. SturdySand Veil (hidden ability),60,50,175,Medium Fast,"50% male, 50% female",90,120,120,60,60,50
Porygon2,Normal,Virtual Pokémon,0.6,32.5,1. Trace2. DownloadAnalytic (hidden ability),45,50,180,Medium Fast,Genderless,85,80,90,105,95,60
Stantler,Normal,Big Horn Pokémon,1.4,71.2,1. Intimidate2. FriskSap Sipper (hidden ability),45,50,163,Slow,"50% male, 50% female",73,95,62,85,65,85
Smeargle,Normal,Painter Pokémon,1.2,58,1. Own Tempo2. TechnicianMoody (hidden ability),45,50,88,Fast,"50% male, 50% female",55,20,35,20,45,75
Tyrogue,Fighting,Scuffle Pokémon,0.7,21,1. Guts2. SteadfastVital Spirit (hidden ability),75,50,42,Medium Fast,"100% male, 0% female",35,35,35,35,35,35
Hitmontop,Fighting,Handstand Pokémon,1.4,48,1. Intimidate2. TechnicianSteadfast (hidden ability),45,50,159,Medium Fast,"100% male, 0% female",50,95,95,35,110,70
Smoochum,Ice Psychic,Kiss Pokémon,0.4,6,1. Oblivious2. ForewarnHydration (hidden ability),45,50,61,Medium Fast,"0% male, 100% female",45,30,15,85,65,65
Elekid,Electric,Electric Pokémon,0.6,23.5,1. StaticVital Spirit (hidden ability),45,50,72,Medium Fast,"75% male, 25% female",45,63,37,65,55,95
Magby,Fire,Live Coal Pokémon,0.7,21.4,1. Flame BodyVital Spirit (hidden ability),45,50,73,Medium Fast,"75% male, 25% female",45,75,37,70,55,83
Miltank,Normal,Milk Cow Pokémon,1.2,75.5,1. Thick Fat2. ScrappySap Sipper (hidden ability),45,50,172,Slow,"0% male, 100% female",95,80,105,40,70,100
Blissey,Normal,Happiness Pokémon,1.5,46.8,1. Natural Cure2. Serene GraceHealer (hidden ability),30,140,635,Fast,"0% male, 100% female",255,10,10,75,135,55
Raikou,Electric,Thunder Pokémon,1.9,178,1. PressureInner Focus (hidden ability),3,35,261,Slow,Genderless,90,85,75,115,100,115
Entei,Fire,Volcano Pokémon,2.1,198,1. PressureInner Focus (hidden ability),3,35,261,Slow,Genderless,115,115,85,90,75,100
Suicune,Water,Aurora Pokémon,2,187,1. PressureInner Focus (hidden ability),3,35,261,Slow,Genderless,100,75,115,90,115,85
Larvitar,Rock Ground,Rock Skin Pokémon,0.6,72,1. GutsSand Veil (hidden ability),45,35,60,Slow,"50% male, 50% female",50,64,50,45,50,41
Pupitar,Rock Ground,Hard Shell Pokémon,1.2,152,1. Shed Skin,45,35,144,Slow,"50% male, 50% female",70,84,70,65,70,51
Tyranitar,Rock Dark,Armor Pokémon,2.5,255,Sand Stream,45,35,315,Slow,"50% male, 50% female",100,164,150,95,120,71
Lugia,Psychic Flying,Diving Pokémon,5.2,216,1. PressureMultiscale (hidden ability),3,0,306,Slow,Genderless,106,90,130,90,154,110
Ho-oh,Fire Flying,Rainbow Pokémon,3.8,199,1. PressureRegenerator (hidden ability),3,0,306,Slow,Genderless,106,130,90,110,154,90
Celebi,Psychic Grass,Time Travel Pokémon,0.6,5,1. Natural Cure,45,100,270,Medium Slow,Genderless,100,100,100,100,100,100
Treecko,Grass,Wood Gecko Pokémon,0.5,5,1. OvergrowUnburden (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",40,45,35,65,55,70
Grovyle,Grass,Wood Gecko Pokémon,0.9,21.6,1. OvergrowUnburden (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",50,65,45,85,65,95
Sceptile,Grass Dragon,Forest Pokémon,1.9,55.2,Lightning Rod,45,50,284,Medium Slow,"87.5% male, 12.5% female",70,110,75,145,85,145
Torchic,Fire,Chick Pokémon,0.4,2.5,1. BlazeSpeed Boost (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",45,60,40,70,50,45
Combusken,Fire Fighting,Young Fowl Pokémon,0.9,19.5,1. BlazeSpeed Boost (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",60,85,60,85,60,55
Blaziken,Fire Fighting,Blaze Pokémon,1.9,52,Speed Boost,45,50,284,Medium Slow,"87.5% male, 12.5% female",80,160,80,130,80,100
Mudkip,Water,Mud Fish Pokémon,0.4,7.6,1. TorrentDamp (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",50,70,50,50,50,40
Marshtomp,Water Ground,Mud Fish Pokémon,0.7,28,1. TorrentDamp (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",70,85,70,60,70,50
Swampert,Water Ground,Mud Fish Pokémon,1.9,102,Swift Swim,45,50,286,Medium Slow,"87.5% male, 12.5% female",100,150,110,95,110,70
Poochyena,Dark,Bite Pokémon,0.5,13.6,1. Run Away2. Quick FeetRattled (hidden ability),255,50,56,Medium Fast,"50% male, 50% female",35,55,35,30,30,35
Mightyena,Dark,Bite Pokémon,1,37,1. Intimidate2. Quick FeetMoxie (hidden ability),127,50,147,Medium Fast,"50% male, 50% female",70,90,70,60,60,70
Zigzagoon,Dark Normal,Tiny Raccoon Pokémon,0.4,17.5,Pickup Gluttony Quick Feet,255,50,56,Medium Fast,"50% male, 50% female",38,30,41,30,41,60
Linoone,Dark Normal,Rushing Pokémon,0.5,32.5,Pickup Gluttony Quick Feet,90,50,147,Medium Fast,"50% male, 50% female",78,70,61,50,61,100
Wurmple,Bug,Worm Pokémon,0.3,3.6,1. Shield DustRun Away (hidden ability),255,50,56,Medium Fast,"50% male, 50% female",45,45,35,20,30,20
Silcoon,Bug,Cocoon Pokémon,0.6,10,1. Shed Skin,120,50,72,Medium Fast,"50% male, 50% female",50,35,55,25,25,15
Beautifly,Bug Flying,Butterfly Pokémon,1,28.4,1. SwarmRivalry (hidden ability),45,50,178,Medium Fast,"50% male, 50% female",60,70,50,100,50,65
Cascoon,Bug,Cocoon Pokémon,0.7,11.5,1. Shed Skin,120,50,72,Medium Fast,"50% male, 50% female",50,35,55,25,25,15
Dustox,Bug Poison,Poison Moth Pokémon,1.2,31.6,1. Shield DustCompound Eyes (hidden ability),45,50,173,Medium Fast,"50% male, 50% female",60,50,70,50,90,65
Lotad,Water Grass,Water Weed Pokémon,0.5,2.6,1. Swift Swim2. Rain DishOwn Tempo (hidden ability),255,50,44,Medium Slow,"50% male, 50% female",40,30,30,40,50,30
Lombre,Water Grass,Jolly Pokémon,1.2,32.5,1. Swift Swim2. Rain DishOwn Tempo (hidden ability),120,50,119,Medium Slow,"50% male, 50% female",60,50,50,60,70,50
Ludicolo,Water Grass,Carefree Pokémon,1.5,55,1. Swift Swim2. Rain DishOwn Tempo (hidden ability),45,50,216,Medium Slow,"50% male, 50% female",80,70,70,90,100,70
Seedot,Grass,Acorn Pokémon,0.5,4,1. Chlorophyll2. Early BirdPickpocket (hidden ability),255,50,44,Medium Slow,"50% male, 50% female",40,40,50,30,30,30
Nuzleaf,Grass Dark,Wily Pokémon,1,28,1. Chlorophyll2. Early BirdPickpocket (hidden ability),120,50,119,Medium Slow,"50% male, 50% female",70,70,40,60,40,60
Shiftry,Grass Dark,Wicked Pokémon,1.3,59.6,1. Chlorophyll2. Early BirdPickpocket (hidden ability),45,50,216,Medium Slow,"50% male, 50% female",90,100,60,90,60,80
Taillow,Normal Flying,TinySwallow Pokémon,0.3,2.3,1. GutsScrappy (hidden ability),200,50,54,Medium Slow,"50% male, 50% female",40,55,30,30,30,85
Swellow,Normal Flying,Swallow Pokémon,0.7,19.8,1. GutsScrappy (hidden ability),45,50,159,Medium Slow,"50% male, 50% female",60,85,60,75,50,125
Wingull,Water Flying,Seagull Pokémon,0.6,9.5,1. Keen Eye2. HydrationRain Dish (hidden ability),190,50,54,Medium Fast,"50% male, 50% female",40,30,30,55,30,85
Pelipper,Water Flying,Water Bird Pokémon,1.2,28,1. Keen Eye2. DrizzleRain Dish (hidden ability),45,50,154,Medium Fast,"50% male, 50% female",60,50,100,95,70,65
Ralts,Psychic Fairy,Feeling Pokémon,0.4,6.6,1. Synchronize2. TraceTelepathy (hidden ability),235,35,40,Slow,"50% male, 50% female",28,25,25,45,35,40
Kirlia,Psychic Fairy,Emotion Pokémon,0.8,20.2,1. Synchronize2. TraceTelepathy (hidden ability),120,35,97,Slow,"50% male, 50% female",38,35,35,65,55,50
Gardevoir,Psychic Fairy,Embrace Pokémon,1.6,48.4,Pixilate,45,35,278,Slow,"50% male, 50% female",68,85,65,165,135,100
Surskit,Bug Water,Pond Skater Pokémon,0.5,1.7,1. Swift SwimRain Dish (hidden ability),200,50,54,Medium Fast,"50% male, 50% female",40,30,32,50,52,65
Masquerain,Bug Flying,Eyeball Pokémon,0.8,3.6,1. IntimidateUnnerve (hidden ability),75,50,159,Medium Fast,"50% male, 50% female",70,60,62,100,82,80
Shroomish,Grass,Mushroom Pokémon,0.4,4.5,1. Effect Spore2. Poison HealQuick Feet (hidden ability),255,50,59,Fluctuating,"50% male, 50% female",60,40,60,40,60,35
Breloom,Grass Fighting,Mushroom Pokémon,1.2,39.2,1. Effect Spore2. Poison HealTechnician (hidden ability),90,50,161,Fluctuating,"50% male, 50% female",60,130,80,60,60,70
Slakoth,Normal,Slacker Pokémon,0.8,24,1. Truant,255,50,56,Slow,"50% male, 50% female",60,60,60,35,35,30
Vigoroth,Normal,Wild Monkey Pokémon,1.4,46.5,1. Vital Spirit,120,50,154,Slow,"50% male, 50% female",80,80,80,55,55,90
Slaking,Normal,Lazy Pokémon,2,130.5,1. Truant,45,50,285,Slow,"50% male, 50% female",150,160,100,95,65,100
Nincada,Bug Ground,Trainee Pokémon,0.5,5.5,1. Compound EyesRun Away (hidden ability),255,50,53,Erratic,"50% male, 50% female",31,45,90,30,30,40
Ninjask,Bug Flying,Ninja Pokémon,0.8,12,1. Speed BoostInfiltrator (hidden ability),120,50,160,Erratic,"50% male, 50% female",61,90,45,50,50,160
Shedinja,Bug Ghost,Shed Pokémon,0.8,1.2,1. Wonder Guard,45,50,83,Erratic,Genderless,1,90,45,30,30,40
Whismur,Normal,Whisper Pokémon,0.6,16.3,1. SoundproofRattled (hidden ability),190,50,48,Medium Slow,"50% male, 50% female",64,51,23,51,23,28
Loudred,Normal,Big Voice Pokémon,1,40.5,1. SoundproofScrappy (hidden ability),120,50,126,Medium Slow,"50% male, 50% female",84,71,43,71,43,48
Exploud,Normal,Loud Noise Pokémon,1.5,84,1. SoundproofScrappy (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",104,91,63,91,73,68
Makuhita,Fighting,Guts Pokémon,1,86.4,1. Thick Fat2. GutsSheer Force (hidden ability),180,50,47,Fluctuating,"75% male, 25% female",72,60,30,20,30,25
Hariyama,Fighting,Arm Thrust Pokémon,2.3,253.8,1. Thick Fat2. GutsSheer Force (hidden ability),200,50,166,Fluctuating,"75% male, 25% female",144,120,60,40,60,50
Azurill,Normal Fairy,Polka Dot Pokémon,0.2,2,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),150,50,38,Fast,"25% male, 75% female",50,20,40,20,40,20
Nosepass,Rock,Compass Pokémon,1,97,1. Sturdy2. Magnet PullSand Force (hidden ability),255,50,75,Medium Fast,"50% male, 50% female",30,45,135,45,90,30
Skitty,Normal,Kitten Pokémon,0.6,11,1. Cute Charm2. NormalizeWonder Skin (hidden ability),255,50,52,Fast,"25% male, 75% female",50,45,45,35,35,50
Delcatty,Normal,Prim Pokémon,1.1,32.6,1. Cute Charm2. NormalizeWonder Skin (hidden ability),60,50,140,Fast,"25% male, 75% female",70,65,65,55,55,90
Sableye,Dark Ghost,Darkness Pokémon,0.5,161,Magic Bounce,45,35,168,Medium Slow,"50% male, 50% female",50,85,125,85,115,20
Mawile,Steel Fairy,Deceiver Pokémon,1,23.5,Huge Power,45,50,168,Fast,"50% male, 50% female",50,105,125,55,95,50
Aron,Steel Rock,Iron Armor Pokémon,0.4,60,1. Sturdy2. Rock HeadHeavy Metal (hidden ability),180,35,66,Slow,"50% male, 50% female",50,70,100,40,40,30
Lairon,Steel Rock,Iron Armor Pokémon,0.9,120,1. Sturdy2. Rock HeadHeavy Metal (hidden ability),90,35,151,Slow,"50% male, 50% female",60,90,140,50,50,40
Aggron,Steel,Iron Armor Pokémon,2.2,395,Filter,45,35,284,Slow,"50% male, 50% female",70,140,230,60,80,50
Meditite,Fighting Psychic,Meditate Pokémon,0.6,11.2,1. Pure PowerTelepathy (hidden ability),180,50,56,Medium Fast,"50% male, 50% female",30,40,55,40,55,60
Medicham,Fighting Psychic,Meditate Pokémon,1.3,31.5,Pure Power,90,50,179,Medium Fast,"50% male, 50% female",60,100,85,80,85,100
Electrike,Electric,Lightning Pokémon,0.6,15.2,1. Static2. Lightning RodMinus (hidden ability),120,50,59,Slow,"50% male, 50% female",40,45,40,65,40,65
Manectric,Electric,Discharge Pokémon,1.8,44,Intimidate,45,50,201,Slow,"50% male, 50% female",70,75,80,135,80,135
Plusle,Electric,Cheering Pokémon,0.4,4.2,1. PlusLightning Rod (hidden ability),200,50,142,Medium Fast,"50% male, 50% female",60,50,40,85,75,95
Minun,Electric,Cheering Pokémon,0.4,4.2,1. MinusVolt Absorb (hidden ability),200,50,142,Medium Fast,"50% male, 50% female",60,40,50,75,85,95
Volbeat,Bug,Firefly Pokémon,0.7,17.7,1. Illuminate2. SwarmPrankster (hidden ability),150,50,151,Erratic,"100% male, 0% female",65,73,75,47,85,85
Illumise,Bug,Firefly Pokémon,0.6,17.7,1. Oblivious2. Tinted LensPrankster (hidden ability),150,50,151,Fluctuating,"0% male, 100% female",65,47,75,73,85,85
Roselia,Grass Poison,Thorn Pokémon,0.3,2,1. Natural Cure2. Poison PointLeaf Guard (hidden ability),150,50,140,Medium Slow,"50% male, 50% female",50,60,45,100,80,65
Gulpin,Poison,Stomach Pokémon,0.4,10.3,1. Liquid Ooze2. Sticky HoldGluttony (hidden ability),225,50,60,Fluctuating,"50% male, 50% female",70,43,53,43,53,40
Swalot,Poison,Poison Bag Pokémon,1.7,80,1. Liquid Ooze2. Sticky HoldGluttony (hidden ability),75,50,163,Fluctuating,"50% male, 50% female",100,73,83,73,83,55
Carvanha,Water Dark,Savage Pokémon,0.8,20.8,1. Rough SkinSpeed Boost (hidden ability),225,35,61,Slow,"50% male, 50% female",45,90,20,65,20,65
Sharpedo,Water Dark,Brutal Pokémon,2.5,130.3,Strong Jaw,60,35,196,Slow,"50% male, 50% female",70,140,70,110,65,105
Wailmer,Water,Ball Whale Pokémon,2,130,1. Water Veil2. ObliviousPressure (hidden ability),125,50,80,Fluctuating,"50% male, 50% female",130,70,35,70,35,60
Wailord,Water,Float Whale Pokémon,14.5,398,1. Water Veil2. ObliviousPressure (hidden ability),60,50,175,Fluctuating,"50% male, 50% female",170,90,45,90,45,60
Numel,Fire Ground,Numb Pokémon,0.7,24,1. Oblivious2. SimpleOwn Tempo (hidden ability),255,50,61,Medium Fast,"50% male, 50% female",60,60,40,65,45,35
Camerupt,Fire Ground,Eruption Pokémon,2.5,320.5,Sheer Force,150,50,196,Medium Fast,"50% male, 50% female",70,120,100,145,105,20
Torkoal,Fire,Coal Pokémon,0.5,80.4,1. White Smoke2. DroughtShell Armor (hidden ability),90,50,165,Medium Fast,"50% male, 50% female",70,85,140,85,70,20
Spoink,Psychic,Bounce Pokémon,0.7,30.6,1. Thick Fat2. Own TempoGluttony (hidden ability),255,50,66,Fast,"50% male, 50% female",60,25,35,70,80,60
Grumpig,Psychic,Manipulate Pokémon,0.9,71.5,1. Thick Fat2. Own TempoGluttony (hidden ability),60,50,165,Fast,"50% male, 50% female",80,45,65,90,110,80
Spinda,Normal,Spot Panda Pokémon,1.1,5,1. Own Tempo2. Tangled FeetContrary (hidden ability),255,50,126,Fast,"50% male, 50% female",60,60,60,60,60,60
Trapinch,Ground,Ant Pit Pokémon,0.7,15,1. Hyper Cutter2. Arena TrapSheer Force (hidden ability),255,50,58,Medium Slow,"50% male, 50% female",45,100,45,45,45,10
Vibrava,Ground Dragon,Vibration Pokémon,1.1,15.3,1. Levitate,120,50,119,Medium Slow,"50% male, 50% female",50,70,50,50,50,70
Flygon,Ground Dragon,Mystic Pokémon,2,82,1. Levitate,45,50,234,Medium Slow,"50% male, 50% female",80,100,80,80,80,100
Cacnea,Grass,Cactus Pokémon,0.4,51.3,1. Sand VeilWater Absorb (hidden ability),190,35,67,Medium Slow,"50% male, 50% female",50,85,40,85,40,35
Cacturne,Grass Dark,Scarecrow Pokémon,1.3,77.4,1. Sand VeilWater Absorb (hidden ability),60,35,166,Medium Slow,"50% male, 50% female",70,115,60,115,60,55
Swablu,Normal Flying,Cotton Bird Pokémon,0.4,1.2,1. Natural CureCloud Nine (hidden ability),255,50,62,Erratic,"50% male, 50% female",45,40,60,40,75,50
Altaria,Dragon Fairy,Humming Pokémon,1.5,20.6,Pixilate,45,50,207,Erratic,"50% male, 50% female",75,110,110,110,105,80
Zangoose,Normal,Cat Ferret Pokémon,1.3,40.3,1. ImmunityToxic Boost (hidden ability),90,50,160,Erratic,"50% male, 50% female",73,115,60,60,60,90
Seviper,Poison,Fang Snake Pokémon,2.7,52.5,1. Shed SkinInfiltrator (hidden ability),90,50,160,Fluctuating,"50% male, 50% female",73,100,60,100,60,65
Lunatone,Rock Psychic,Meteorite Pokémon,1,168,1. Levitate,45,50,161,Fast,Genderless,90,55,65,95,85,70
Solrock,Rock Psychic,Meteorite Pokémon,1.2,154,1. Levitate,45,50,161,Fast,Genderless,90,95,85,55,65,70
